row,col,panel,label
0,0,truth,c0
0,1,truth,c0
0,2,truth,c0
0,3,truth,c0
0,4,truth,c0
0,5,truth,c0
0,6,truth,c0
0,7,truth,c0
0,8,truth,c0
0,9,truth,c0
0,10,truth,c0
0,11,truth,c0
0,12,truth,c0
0,13,truth,c0
0,14,truth,c0
0,15,truth,c0
0,16,truth,c0
0,17,truth,c0
0,18,truth,c0
0,19,truth,c0
0,20,truth,c1
0,21,truth,c1
0,22,truth,c1
0,23,truth,c1
0,24,truth,c1
0,25,truth,c1
0,26,truth,c1
0,27,truth,c1
0,28,truth,c2
0,29,truth,c2
0,30,truth,c2
0,31,truth,c2
0,32,truth,c2
0,33,truth,c2
0,34,truth,c2
0,35,truth,c2
0,36,truth,c2
0,37,truth,c2
0,38,truth,c2
0,39,truth,c2
0,40,truth,c2
0,41,truth,c2
0,42,truth,c2
0,43,truth,c2
0,44,truth,c0
0,45,truth,c0
0,46,truth,c0
0,47,truth,c0
0,48,truth,c0
0,49,truth,c0
0,50,truth,c0
0,51,truth,c0
0,52,truth,c0
0,53,truth,c0
0,54,truth,c0
0,55,truth,c0
0,56,truth,c0
0,57,truth,c0
0,58,truth,c0
0,59,truth,c0
0,60,truth,c0
0,61,truth,c1
0,62,truth,c1
0,63,truth,c1
0,64,truth,c1
0,65,truth,c1
0,66,truth,c1
0,67,truth,c1
0,68,truth,c1
0,69,truth,c1
0,70,truth,c1
0,71,truth,c1
0,72,truth,c1
0,73,truth,c1
0,74,truth,c1
0,75,truth,c1
0,76,truth,c1
0,77,truth,c0
0,78,truth,c0
0,79,truth,c0
0,80,truth,c0
0,81,truth,c0
0,82,truth,c0
0,83,truth,c0
0,84,truth,c0
0,85,truth,c0
0,86,truth,c0
0,87,truth,c0
0,88,truth,c0
0,89,truth,c0
0,90,truth,c0
0,91,truth,c0
0,92,truth,c0
0,93,truth,c0
0,94,truth,c0
0,95,truth,c0
1,0,truth,c0
1,1,truth,c0
1,2,truth,c0
1,3,truth,c0
1,4,truth,c0
1,5,truth,c0
1,6,truth,c0
1,7,truth,c0
1,8,truth,c0
1,9,truth,c0
1,10,truth,c0
1,11,truth,c0
1,12,truth,c0
1,13,truth,c0
1,14,truth,c0
1,15,truth,c0
1,16,truth,c0
1,17,truth,c0
1,18,truth,c0
1,19,truth,c0
1,20,truth,c1
1,21,truth,c1
1,22,truth,c1
1,23,truth,c1
1,24,truth,c1
1,25,truth,c1
1,26,truth,c1
1,27,truth,c1
1,28,truth,c1
1,29,truth,c2
1,30,truth,c2
1,31,truth,c2
1,32,truth,c2
1,33,truth,c2
1,34,truth,c2
1,35,truth,c2
1,36,truth,c2
1,37,truth,c2
1,38,truth,c2
1,39,truth,c2
1,40,truth,c2
1,41,truth,c2
1,42,truth,c1
1,43,truth,c1
1,44,truth,c1
1,45,truth,c0
1,46,truth,c0
1,47,truth,c0
1,48,truth,c0
1,49,truth,c0
1,50,truth,c0
1,51,truth,c0
1,52,truth,c0
1,53,truth,c0
1,54,truth,c0
1,55,truth,c0
1,56,truth,c0
1,57,truth,c0
1,58,truth,c0
1,59,truth,c0
1,60,truth,c0
1,61,truth,c1
1,62,truth,c1
1,63,truth,c1
1,64,truth,c1
1,65,truth,c1
1,66,truth,c1
1,67,truth,c1
1,68,truth,c1
1,69,truth,c1
1,70,truth,c1
1,71,truth,c1
1,72,truth,c1
1,73,truth,c1
1,74,truth,c1
1,75,truth,c1
1,76,truth,c1
1,77,truth,c1
1,78,truth,c1
1,79,truth,c0
1,80,truth,c0
1,81,truth,c0
1,82,truth,c0
1,83,truth,c0
1,84,truth,c0
1,85,truth,c0
1,86,truth,c0
1,87,truth,c0
1,88,truth,c0
1,89,truth,c0
1,90,truth,c0
1,91,truth,c0
1,92,truth,c0
1,93,truth,c0
1,94,truth,c0
1,95,truth,c0
2,0,truth,c0
2,1,truth,c0
2,2,truth,c0
2,3,truth,c0
2,4,truth,c0
2,5,truth,c0
2,6,truth,c0
2,7,truth,c0
2,8,truth,c0
2,9,truth,c0
2,10,truth,c0
2,11,truth,c0
2,12,truth,c0
2,13,truth,c0
2,14,truth,c0
2,15,truth,c0
2,16,truth,c0
2,17,truth,c0
2,18,truth,c0
2,19,truth,c0
2,20,truth,c1
2,21,truth,c1
2,22,truth,c1
2,23,truth,c1
2,24,truth,c1
2,25,truth,c1
2,26,truth,c1
2,27,truth,c1
2,28,truth,c1
2,29,truth,c1
2,30,truth,c2
2,31,truth,c2
2,32,truth,c2
2,33,truth,c2
2,34,truth,c2
2,35,truth,c2
2,36,truth,c2
2,37,truth,c2
2,38,truth,c2
2,39,truth,c2
2,40,truth,c1
2,41,truth,c1
2,42,truth,c1
2,43,truth,c1
2,44,truth,c1
2,45,truth,c1
2,46,truth,c0
2,47,truth,c0
2,48,truth,c0
2,49,truth,c0
2,50,truth,c0
2,51,truth,c0
2,52,truth,c0
2,53,truth,c0
2,54,truth,c0
2,55,truth,c0
2,56,truth,c0
2,57,truth,c0
2,58,truth,c0
2,59,truth,c0
2,60,truth,c0
2,61,truth,c1
2,62,truth,c1
2,63,truth,c1
2,64,truth,c1
2,65,truth,c1
2,66,truth,c1
2,67,truth,c1
2,68,truth,c1
2,69,truth,c1
2,70,truth,c1
2,71,truth,c1
2,72,truth,c1
2,73,truth,c1
2,74,truth,c1
2,75,truth,c1
2,76,truth,c1
2,77,truth,c1
2,78,truth,c1
2,79,truth,c1
2,80,truth,c1
2,81,truth,c0
2,82,truth,c0
2,83,truth,c0
2,84,truth,c0
2,85,truth,c0
2,86,truth,c0
2,87,truth,c0
2,88,truth,c0
2,89,truth,c0
2,90,truth,c0
2,91,truth,c0
2,92,truth,c0
2,93,truth,c0
2,94,truth,c0
2,95,truth,c0
3,0,truth,c0
3,1,truth,c0
3,2,truth,c0
3,3,truth,c0
3,4,truth,c0
3,5,truth,c0
3,6,truth,c0
3,7,truth,c0
3,8,truth,c0
3,9,truth,c0
3,10,truth,c0
3,11,truth,c0
3,12,truth,c0
3,13,truth,c0
3,14,truth,c0
3,15,truth,c0
3,16,truth,c0
3,17,truth,c0
3,18,truth,c0
3,19,truth,c0
3,20,truth,c0
3,21,truth,c1
3,22,truth,c1
3,23,truth,c1
3,24,truth,c1
3,25,truth,c1
3,26,truth,c1
3,27,truth,c1
3,28,truth,c1
3,29,truth,c1
3,30,truth,c2
3,31,truth,c2
3,32,truth,c2
3,33,truth,c2
3,34,truth,c2
3,35,truth,c2
3,36,truth,c2
3,37,truth,c2
3,38,truth,c2
3,39,truth,c1
3,40,truth,c1
3,41,truth,c1
3,42,truth,c1
3,43,truth,c1
3,44,truth,c1
3,45,truth,c1
3,46,truth,c0
3,47,truth,c0
