kind,truth_k,method,k_hat
null,1,HL_iid,5
null,1,HL_grf,1
null,1,HL_iid,5
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,6
null,1,HL_grf,1
null,1,HL_iid,5
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,5
null,1,HL_grf,1
null,1,HL_iid,6
null,1,HL_grf,1
null,1,HL_iid,5
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,5
null,1,HL_grf,1
null,1,HL_iid,5
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,6
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,8
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,7
null,1,HL_grf,1
null,1,HL_iid,6
null,1,HL_grf,1
null,1,HL_iid,6
null,1,HL_grf,1
null,1,HL_iid,7
