method,pi,sep,rep,k_hat
ess_dip,0.02,3.0,0,1
ess_dip,0.02,3.0,1,1
ess_dip,0.02,3.0,2,1
ess_dip,0.02,3.0,3,1
ess_dip,0.02,3.0,4,1
ess_dip,0.02,3.0,5,1
ess_dip,0.02,3.0,6,1
ess_dip,0.02,3.0,7,1
ess_dip,0.02,3.0,8,1
ess_dip,0.02,3.0,9,1
ess_dip,0.02,3.0,10,1
ess_dip,0.02,3.0,11,1
ess_dip,0.02,3.0,12,1
ess_dip,0.02,3.0,13,1
ess_dip,0.02,3.0,14,1
ess_dip,0.02,4.0,0,1
ess_dip,0.02,4.0,1,1
ess_dip,0.02,4.0,2,1
ess_dip,0.02,4.0,3,1
ess_dip,0.02,4.0,4,1
ess_dip,0.02,4.0,5,1
ess_dip,0.02,4.0,6,1
ess_dip,0.02,4.0,7,1
ess_dip,0.02,4.0,8,1
ess_dip,0.02,4.0,9,1
ess_dip,0.02,4.0,10,1
ess_dip,0.02,4.0,11,1
ess_dip,0.02,4.0,12,1
ess_dip,0.02,4.0,13,1
ess_dip,0.02,4.0,14,1
ess_dip,0.05,3.0,0,1
ess_dip,0.05,3.0,1,1
ess_dip,0.05,3.0,2,1
ess_dip,0.05,3.0,3,1
ess_dip,0.05,3.0,4,1
ess_dip,0.05,3.0,5,1
ess_dip,0.05,3.0,6,1
ess_dip,0.05,3.0,7,1
ess_dip,0.05,3.0,8,1
ess_dip,0.05,3.0,9,1
ess_dip,0.05,3.0,10,1
ess_dip,0.05,3.0,11,1
ess_dip,0.05,3.0,12,1
ess_dip,0.05,3.0,13,1
ess_dip,0.05,3.0,14,1
ess_dip,0.05,4.0,0,1
ess_dip,0.05,4.0,1,1
ess_dip,0.05,4.0,2,1
ess_dip,0.05,4.0,3,1
ess_dip,0.05,4.0,4,1
ess_dip,0.05,4.0,5,1
ess_dip,0.05,4.0,6,1
ess_dip,0.05,4.0,7,1
ess_dip,0.05,4.0,8,1
ess_dip,0.05,4.0,9,1
ess_dip,0.05,4.0,10,1
ess_dip,0.05,4.0,11,1
ess_dip,0.05,4.0,12,1
ess_dip,0.05,4.0,13,1
ess_dip,0.05,4.0,14,1
ess_dip,0.1,3.0,0,1
ess_dip,0.1,3.0,1,2
ess_dip,0.1,3.0,2,1
ess_dip,0.1,3.0,3,2
ess_dip,0.1,3.0,4,2
ess_dip,0.1,3.0,5,1
ess_dip,0.1,3.0,6,1
ess_dip,0.1,3.0,7,1
ess_dip,0.1,3.0,8,2
ess_dip,0.1,3.0,9,2
ess_dip,0.1,3.0,10,2
ess_dip,0.1,3.0,11,2
ess_dip,0.1,3.0,12,2
ess_dip,0.1,3.0,13,2
ess_dip,0.1,3.0,14,2
ess_dip,0.1,4.0,0,2
ess_dip,0.1,4.0,1,2
ess_dip,0.1,4.0,2,2
ess_dip,0.1,4.0,3,2
ess_dip,0.1,4.0,4,1
ess_dip,0.1,4.0,5,1
ess_dip,0.1,4.0,6,2
ess_dip,0.1,4.0,7,1
ess_dip,0.1,4.0,8,2
ess_dip,0.1,4.0,9,2
ess_dip,0.1,4.0,10,2
ess_dip,0.1,4.0,11,2
ess_dip,0.1,4.0,12,2
ess_dip,0.1,4.0,13,2
ess_dip,0.1,4.0,14,2
ess_dip,0.2,3.0,0,2
ess_dip,0.2,3.0,1,2
