sigma,L,n,n_eff,fsr_ess,fsr_fixed,fsr_nominal,power
8.0,32,1024,35.521335878769854,0.0,0.0,0.2,0.11875
6.0,32,1024,42.183201441004584,0.0,0.0,0.05625,0.2125
8.0,48,2304,48.380088133929874,0.0,0.0,0.1125,0.4375
4.0,32,1024,48.61099402258208,0.0,0.0,0.01875,0.51875
6.0,48,2304,50.328550461277246,0.0,0.0,0.06875,0.73125
4.0,48,2304,56.35206438115159,0.0,0.0,0.09375,0.9375
2.0,32,1024,59.18178643760698,0.0,0.0,0.03125,0.96875
8.0,64,4096,67.7153553854354,0.0,0.0,0.05625,0.80625
6.0,64,4096,70.7595445727442,0.0,0.0,0.08125,0.8875
4.0,64,4096,85.52259038508844,0.0,0.0,0.04375,0.99375
8.0,80,6400,100.76198636317272,0.0,0.0,0.04375,0.8875
6.0,80,6400,102.80042075885929,0.0,0.0,0.04375,0.96875
2.0,48,2304,112.89298088110135,0.0,0.0,0.0,0.99375
4.0,80,6400,133.14651768237172,0.0,0.0,0.0,1.0
2.0,64,4096,194.7726095727901,0.0,0.0,0.0,1.0
2.0,80,6400,316.337037037037,0.0,0.0,0.0,1.0
