world,factor,rep,k_hat,truth
null,0.25,0,1,1
null,0.25,1,1,1
null,0.25,2,1,1
null,0.25,3,1,1
null,0.25,4,1,1
null,0.25,5,1,1
null,0.25,6,1,1
null,0.25,7,1,1
null,0.25,8,1,1
null,0.25,9,2,1
null,0.25,10,1,1
null,0.25,11,1,1
null,0.25,12,1,1
null,0.25,13,1,1
null,0.25,14,1,1
null,0.5,0,1,1
null,0.5,1,1,1
null,0.5,2,1,1
null,0.5,3,1,1
null,0.5,4,1,1
null,0.5,5,1,1
null,0.5,6,1,1
null,0.5,7,1,1
null,0.5,8,1,1
null,0.5,9,1,1
null,0.5,10,1,1
null,0.5,11,1,1
null,0.5,12,1,1
null,0.5,13,1,1
null,0.5,14,1,1
null,0.75,0,1,1
null,0.75,1,1,1
null,0.75,2,1,1
null,0.75,3,1,1
null,0.75,4,1,1
null,0.75,5,1,1
null,0.75,6,1,1
null,0.75,7,1,1
null,0.75,8,1,1
null,0.75,9,1,1
null,0.75,10,1,1
null,0.75,11,1,1
null,0.75,12,1,1
null,0.75,13,1,1
null,0.75,14,1,1
null,1.0,0,1,1
null,1.0,1,1,1
null,1.0,2,1,1
null,1.0,3,1,1
null,1.0,4,1,1
null,1.0,5,1,1
null,1.0,6,1,1
null,1.0,7,1,1
null,1.0,8,1,1
null,1.0,9,1,1
null,1.0,10,1,1
null,1.0,11,1,1
null,1.0,12,1,1
null,1.0,13,1,1
null,1.0,14,1,1
null,1.5,0,1,1
null,1.5,1,1,1
null,1.5,2,1,1
null,1.5,3,1,1
null,1.5,4,1,1
null,1.5,5,1,1
null,1.5,6,1,1
null,1.5,7,1,1
null,1.5,8,1,1
null,1.5,9,1,1
null,1.5,10,1,1
null,1.5,11,1,1
null,1.5,12,1,1
null,1.5,13,1,1
null,1.5,14,1,1
null,2.0,0,1,1
null,2.0,1,1,1
null,2.0,2,1,1
null,2.0,3,1,1
null,2.0,4,1,1
null,2.0,5,1,1
null,2.0,6,1,1
null,2.0,7,1,1
null,2.0,8,1,1
null,2.0,9,1,1
null,2.0,10,1,1
null,2.0,11,1,1
null,2.0,12,1,1
null,2.0,13,1,1
null,2.0,14,1,1
null,4.0,0,1,1
null,4.0,1,1,1
null,4.0,2,1,1
null,4.0,3,1,1
null,4.0,4,1,1
null,4.0,5,1,1
null,4.0,6,1,1
null,4.0,7,1,1
null,4.0,8,1,1
null,4.0,9,1,1
null,4.0,10,1,1
null,4.0,11,1,1
null,4.0,12,1,1
null,4.0,13,1,1
null,4.0,14,1,1
struct,0.25,0,4,4
struct,0.25,1,4,4
struct,0.25,2,4,4
struct,0.25,3,4,4
struct,0.25,4,4,4
struct,0.25,5,4,4
struct,0.25,6,4,4
struct,0.25,7,4,4
struct,0.25,8,4,4
struct,0.25,9,4,4
struct,0.25,10,4,4
struct,0.25,11,4,4
struct,0.25,12,4,4
struct,0.25,13,4,4
struct,0.25,14,4,4
struct,0.5,0,4,4
struct,0.5,1,4,4
struct,0.5,2,4,4
struct,0.5,3,4,4
struct,0.5,4,4,4
struct,0.5,5,3,4
struct,0.5,6,4,4
struct,0.5,7,4,4
struct,0.5,8,4,4
struct,0.5,9,4,4
struct,0.5,10,4,4
struct,0.5,11,4,4
struct,0.5,12,4,4
struct,0.5,13,4,4
struct,0.5,14,4,4
struct,0.75,0,4,4
struct,0.75,1,4,4
struct,0.75,2,4,4
struct,0.75,3,4,4
struct,0.75,4,4,4
struct,0.75,5,3,4
struct,0.75,6,4,4
struct,0.75,7,4,4
struct,0.75,8,4,4
struct,0.75,9,4,4
struct,0.75,10,4,4
struct,0.75,11,4,4
struct,0.75,12,4,4
struct,0.75,13,4,4
struct,0.75,14,4,4
struct,1.0,0,4,4
struct,1.0,1,4,4
struct,1.0,2,4,4
struct,1.0,3,4,4
struct,1.0,4,3,4
struct,1.0,5,3,4
struct,1.0,6,4,4
struct,1.0,7,4,4
struct,1.0,8,4,4
struct,1.0,9,4,4
struct,1.0,10,4,4
struct,1.0,11,4,4
struct,1.0,12,3,4
struct,1.0,13,4,4
struct,1.0,14,4,4
struct,1.5,0,4,4
struct,1.5,1,4,4
struct,1.5,2,4,4
struct,1.5,3,4,4
struct,1.5,4,3,4
struct,1.5,5,3,4
struct,1.5,6,2,4
struct,1.5,7,4,4
struct,1.5,8,4,4
struct,1.5,9,4,4
struct,1.5,10,4,4
struct,1.5,11,4,4
struct,1.5,12,3,4
struct,1.5,13,4,4
struct,1.5,14,4,4
struct,2.0,0,2,4
struct,2.0,1,4,4
struct,2.0,2,4,4
struct,2.0,3,1,4
struct,2.0,4,3,4
struct,2.0,5,3,4
struct,2.0,6,1,4
struct,2.0,7,1,4
struct,2.0,8,4,4
struct,2.0,9,4,4
struct,2.0,10,4,4
struct,2.0,11,4,4
struct,2.0,12,1,4
struct,2.0,13,4,4
struct,2.0,14,2,4
struct,4.0,0,1,4
struct,4.0,1,1,4
struct,4.0,2,1,4
struct,4.0,3,1,4
struct,4.0,4,1,4
struct,4.0,5,1,4
struct,4.0,6,1,4
struct,4.0,7,1,4
struct,4.0,8,1,4
struct,4.0,9,1,4
struct,4.0,10,1,4
struct,4.0,11,1,4
struct,4.0,12,1,4
struct,4.0,13,1,4
struct,4.0,14,1,4
