dataset,window,dom_class,method,k_hat
IndianPines,IndianPines:0,11,classical_gap,2
IndianPines,IndianPines:0,11,silhouette,2
IndianPines,IndianPines:0,11,calinski_harabasz,2
IndianPines,IndianPines:0,11,davies_bouldin,4
IndianPines,IndianPines:0,11,decluster_dip,1
IndianPines,IndianPines:0,11,ess_dip,1
IndianPines,IndianPines:0,11,ess_dip_detrend,1
IndianPines,IndianPines:0,11,ess_dip_adaptive,1
IndianPines,IndianPines:0,11,ess_dip_local,1
IndianPines,IndianPines:2,14,classical_gap,1
IndianPines,IndianPines:2,14,silhouette,3
IndianPines,IndianPines:2,14,calinski_harabasz,6
IndianPines,IndianPines:2,14,davies_bouldin,4
IndianPines,IndianPines:2,14,decluster_dip,1
IndianPines,IndianPines:2,14,ess_dip,1
IndianPines,IndianPines:2,14,ess_dip_detrend,1
IndianPines,IndianPines:2,14,ess_dip_adaptive,1
IndianPines,IndianPines:2,14,ess_dip_local,1
IndianPines,IndianPines:1,14,classical_gap,1
IndianPines,IndianPines:1,14,silhouette,3
IndianPines,IndianPines:1,14,calinski_harabasz,5
IndianPines,IndianPines:1,14,davies_bouldin,4
IndianPines,IndianPines:1,14,decluster_dip,1
IndianPines,IndianPines:1,14,ess_dip,1
IndianPines,IndianPines:1,14,ess_dip_detrend,1
IndianPines,IndianPines:1,14,ess_dip_adaptive,1
IndianPines,IndianPines:1,14,ess_dip_local,1
IndianPines,IndianPines:3,14,classical_gap,1
IndianPines,IndianPines:3,14,silhouette,3
IndianPines,IndianPines:3,14,calinski_harabasz,7
IndianPines,IndianPines:3,14,davies_bouldin,5
IndianPines,IndianPines:3,14,decluster_dip,1
IndianPines,IndianPines:3,14,ess_dip,1
IndianPines,IndianPines:3,14,ess_dip_detrend,1
IndianPines,IndianPines:3,14,ess_dip_adaptive,1
IndianPines,IndianPines:3,14,ess_dip_local,1
IndianPines,IndianPines:10,11,classical_gap,1
IndianPines,IndianPines:10,11,silhouette,2
IndianPines,IndianPines:10,11,calinski_harabasz,3
IndianPines,IndianPines:10,11,davies_bouldin,3
IndianPines,IndianPines:10,11,decluster_dip,1
IndianPines,IndianPines:10,11,ess_dip,1
IndianPines,IndianPines:10,11,ess_dip_detrend,1
IndianPines,IndianPines:10,11,ess_dip_adaptive,1
IndianPines,IndianPines:10,11,ess_dip_local,1
IndianPines,IndianPines:13,11,classical_gap,1
IndianPines,IndianPines:13,11,silhouette,2
IndianPines,IndianPines:13,11,calinski_harabasz,4
IndianPines,IndianPines:13,11,davies_bouldin,5
IndianPines,IndianPines:13,11,decluster_dip,1
IndianPines,IndianPines:13,11,ess_dip,1
IndianPines,IndianPines:13,11,ess_dip_detrend,1
IndianPines,IndianPines:13,11,ess_dip_adaptive,1
IndianPines,IndianPines:13,11,ess_dip_local,1
IndianPines,IndianPines:12,11,classical_gap,3
IndianPines,IndianPines:12,11,silhouette,2
IndianPines,IndianPines:12,11,calinski_harabasz,2
IndianPines,IndianPines:12,11,davies_bouldin,2
IndianPines,IndianPines:12,11,decluster_dip,1
IndianPines,IndianPines:12,11,ess_dip,1
IndianPines,IndianPines:12,11,ess_dip_detrend,1
IndianPines,IndianPines:12,11,ess_dip_adaptive,1
IndianPines,IndianPines:12,11,ess_dip_local,1
IndianPines,IndianPines:11,11,classical_gap,2
IndianPines,IndianPines:11,11,silhouette,2
IndianPines,IndianPines:11,11,calinski_harabasz,2
IndianPines,IndianPines:11,11,davies_bouldin,2
IndianPines,IndianPines:11,11,decluster_dip,1
IndianPines,IndianPines:11,11,ess_dip,1
IndianPines,IndianPines:11,11,ess_dip_detrend,1
IndianPines,IndianPines:11,11,ess_dip_adaptive,1
IndianPines,IndianPines:11,11,ess_dip_local,1
IndianPines,IndianPines:7,11,classical_gap,1
IndianPines,IndianPines:7,11,silhouette,2
IndianPines,IndianPines:7,11,calinski_harabasz,6
IndianPines,IndianPines:7,11,davies_bouldin,2
IndianPines,IndianPines:7,11,decluster_dip,1
IndianPines,IndianPines:7,11,ess_dip,1
IndianPines,IndianPines:7,11,ess_dip_detrend,1
IndianPines,IndianPines:7,11,ess_dip_adaptive,1
IndianPines,IndianPines:7,11,ess_dip_local,1
IndianPines,IndianPines:5,10,classical_gap,2
IndianPines,IndianPines:5,10,silhouette,2
IndianPines,IndianPines:5,10,calinski_harabasz,2
IndianPines,IndianPines:5,10,davies_bouldin,2
IndianPines,IndianPines:5,10,decluster_dip,1
IndianPines,IndianPines:5,10,ess_dip,1
IndianPines,IndianPines:5,10,ess_dip_detrend,1
IndianPines,IndianPines:5,10,ess_dip_adaptive,1
IndianPines,IndianPines:5,10,ess_dip_local,1
IndianPines,IndianPines:4,11,classical_gap,8
IndianPines,IndianPines:4,11,silhouette,2
IndianPines,IndianPines:4,11,calinski_harabasz,8
IndianPines,IndianPines:4,11,davies_bouldin,4
IndianPines,IndianPines:4,11,decluster_dip,1
IndianPines,IndianPines:4,11,ess_dip,1
IndianPines,IndianPines:4,11,ess_dip_detrend,1
IndianPines,IndianPines:4,11,ess_dip_adaptive,1
IndianPines,IndianPines:4,11,ess_dip_local,1
IndianPines,IndianPines:15,10,classical_gap,2
IndianPines,IndianPines:15,10,silhouette,2
IndianPines,IndianPines:15,10,calinski_harabasz,2
IndianPines,IndianPines:15,10,davies_bouldin,2
IndianPines,IndianPines:15,10,decluster_dip,1
IndianPines,IndianPines:15,10,ess_dip,1
IndianPines,IndianPines:15,10,ess_dip_detrend,1
IndianPines,IndianPines:15,10,ess_dip_adaptive,1
IndianPines,IndianPines:15,10,ess_dip_local,1
IndianPines,IndianPines:6,8,classical_gap,7
IndianPines,IndianPines:6,8,silhouette,2
IndianPines,IndianPines:6,8,calinski_harabasz,5
IndianPines,IndianPines:6,8,davies_bouldin,5
IndianPines,IndianPines:6,8,decluster_dip,1
IndianPines,IndianPines:6,8,ess_dip,1
IndianPines,IndianPines:6,8,ess_dip_detrend,1
IndianPines,IndianPines:6,8,ess_dip_adaptive,1
IndianPines,IndianPines:6,8,ess_dip_local,1
Salinas,Salinas:0,15,classical_gap,2
