kind,truth_k,method,k_hat
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,2
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,2
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
null,1,SGS-Dip,1
trend,1,SGS-Dip,1
null,1,SGS-Dip,2
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
null,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
null,1,SGS-Dip,8
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
trend,1,SGS-Dip,1
null,1,SGS-Dip,8
null,1,SGS-Dip,5
null,1,SGS-Dip,8
trend,1,SGS-Dip,1
trend,1,SGS-Dip,2
null,1,SGS-Dip,8
