kind,truth_k,method,k_hat
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,1
null,1,SGS-Dip-mt,3
null,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
trend,1,SGS-Dip-mt,1
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,3
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,3
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,3
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,3
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,3
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,2
struct,2,SGS-Dip-mt,3
struct,2,SGS-Dip-mt,3
struct,3,SGS-Dip-mt,3
struct,3,SGS-Dip-mt,3
struct,3,SGS-Dip-mt,3
struct,3,SGS-Dip-mt,3
struct,3,SGS-Dip-mt,3
