kind,truth,k_hat
null,1,3
null,1,1
null,1,1
null,1,1
null,1,3
null,1,1
null,1,1
null,1,2
null,1,1
null,1,2
null,1,3
null,1,2
null,1,1
null,1,1
null,1,1
null,1,1
null,1,2
null,1,3
null,1,2
null,1,3
null,1,1
null,1,2
null,1,3
null,1,2
null,1,1
null,1,2
null,1,3
null,1,3
null,1,1
null,1,1
null,1,3
null,1,5
null,1,5
null,1,1
null,1,3
null,1,4
null,1,2
null,1,7
null,1,2
null,1,4
null,1,1
null,1,6
null,1,3
null,1,3
null,1,3
trend,1,7
trend,1,8
trend,1,8
trend,1,4
trend,1,6
trend,1,8
trend,1,8
trend,1,8
trend,1,6
trend,1,6
trend,1,8
trend,1,8
trend,1,7
trend,1,6
trend,1,8
trend,1,6
trend,1,5
trend,1,7
trend,1,6
trend,1,8
trend,1,6
trend,1,8
trend,1,8
trend,1,8
trend,1,8
trend,1,6
trend,1,8
trend,1,8
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
trend,1,8
struct,2,2
trend,1,8
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,3,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,2,2
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
struct,3,3
