axis,H,N,p,ess_dip,gap,sgs
N,48,2304,6,0.08844720898196101,0.1905666550155729,
N,64,4096,6,0.11682265298441052,0.21697614714503288,
N,96,9216,6,0.1623539838474244,0.3188529461622238,
N,128,16384,6,0.43313563195988536,0.6038446491584182,
N,160,25600,6,0.5801752749830484,0.762532050954178,
N,192,36864,6,0.8617732799611986,1.0135517159942538,
N,256,65536,6,1.3302597720175982,nan,
p,128,16384,3,0.3049790491349995,nan,
p,128,16384,6,0.4025975631084293,nan,
p,128,16384,10,0.40961525309830904,nan,
p,128,16384,20,0.6233021279331297,nan,
p,128,16384,40,1.0191298259887844,nan,
sgs,64,4096,6,nan,nan,0.10448013001587242
sgs,96,9216,6,nan,nan,0.1995680279796943
sgs,128,16384,6,nan,nan,0.33797340851742774
